"prompt","completion"
"hi 

if you know clown will kill me guy then tell him that he is stupid, ugly, fat, gay, his mother's a whore, he smells like shit, he's an asshole, a bastard, and his little name just might be the gayest fucking thing i have ever heard. Hey and you are a faggot as well, so don't ever send me a message while i am editing pages again or i will rape your mother and kill you. ->"," threat"
"You're such one god damn nigger for a titty penis head. I am going to head butt you! ->"," identity"
"wikipedia nazis can suck it bitches ->"," identity"
"Hey! Thanks for being a dick and adding a warning template on an IP talk page instead of fixing your fuck up. Your mindbogglingly idiotic idea that the  background section should follow the one editorial you read instead of countless other sources is superb. Way to fuck up a massive section in a highly read article you fucking dolt. ->"," toxic"
"Honesty, where the fuck is the Adeputs Mechanicus page, I typed Machine God in search and some crap that has nothing to do with Warhammer 40,000 turned up, honesty what the fuck, whoever is killing Warhammer 40,000 on wikipedia needs to die in the fire and if you don't like what I said, then you can join them as well, deal with it.(  ) ->"," threat"
"""

British Empire
""""The British Empire appears to be a strong entity and retains its territories in Africa and Asia, although Canada, Australia and New Zealand have split from the Empire and are closely allied to the United States. Winston Churchill and Elizabeth Windsor, who claims the British Crown from Edward VIII, reside in Canada, speaking out against the Greater German Reich, German-controlled Europe, and the puppet British regime. However, Great Britain is afforded a great deal of respect from the German Reich as its Empire and historical institutions were greatly admired by Adolf Hitler and German society in general even in the years before World War II.""""

Apart from the bit about Canada I don't recall any of this from the book. Nor do I recall any mention of German presence in Antartica. Can someone show the references from the book to back up these claims?"" ->"," none"
"That IS APPROPRIATE TALK you fucking dipshit. I will come to your house and stab you repeatedly while you sleep and watch you bleed to death and cry and I will laugh. ->"," threat"
"""

 Reply to """"On gender"""" 

Your posted: Don't guess at someone's gender, as you have done here.  It is uncivil, and could in fact be taken as insult.  Any argument you might have that their 'name appears to be that of a female/woman' is invalid, as you have no idea if that is their name, last name, middle name.. etc.  It could even be a reference to the male comicbook character Blade, who had the name of Daywalker given to him by others in the comic book.— dαlus Contribs 

If you know your friend’s gender, spit it out, you stupid ass. Your entire posting, if you didn’t have the agenda I ascribe to you, infra, would have been “FYI: He/she is a female/male” and I would adjust accordingly. Hell, if you tell me that Dayewalker is a consortium, and I’d refer to Dayewalker as “they/it.” Don’t continue to be an ass if you post further, or understand that your further postings are unworthy of reply.

I note that you are not correcting your friend Dayewalker when she posts to you 6 days ago """"I saw that afterwards, I knew HE was topic banned but it had slipped my mind about the overall bannation. Thanks! Dayewalker (talk) 06:48, 13 July 2010."""" Are suggesting that you know that Dayewalker has completed genetic testing on the subject of her comment, so that he (Dayewalker) is not guessing at ‘his” gender (the subject of her (Dayewalker’s) comment) when he only refers to """"he’;"""" or that he (Dayewalker) has genetic evidence that the """"he"""" is actually a """"she"""" and she (Dayewalker) is insulting them by suggesting that the """"he"""" is too ballsy or pushy to be a woman/“lady.” Dayewalker is not whining about this unintended insult of either referring to a woman as “she” or equally unintended insult of referring to a man as “she.” Don't be an ass.

If Dayewalker, or anyone, is so concerned about their gender identification, and they are not an idiot, they will use a prefix like """"Mr."""" or """"Ms."""" Dayewalker has not said anything about it and it is off topic to the discussion. If you wish to join into the discussion, please feel free. On second thought, don’t join in. I have no confidence that you would answer the questions posed by the other editor either. Dayewalker (he she, they, etc.) doesn’t answer his question. Ut oh, now I’ve called Chowbok a “he.” No doubt her boyfriend/girlfriend will rush in to call me a “beast” and start a fight on the 2nd grade playground. If Dayewalker thinks that he has been called a """"sissy"""" or a """"girlie,"""" then she can address that with me. He doesn't need a mighty protector to create issues designed to get me banned. And by """"protector,"""" I mean you. You are an ass. Male. Female. Both. Neither. And of whatever ‘sexual orientation,” if any, that you wish to use to identify yourself, or not identify yourself, or feel the need to identify yourself, or feel the need to keep private, or over which you do not care. I don’t care what gender, if any you (him/her/them/it) are.  

Animal. Mineral. Vegtable. You're an ass."" ->"," obscene"
"Are you a pole smoker? Do you suck cock? ->"," obscene"
"YOU REALLY REALLY SUCK. ->"," insult"
"You don't know what are real difficulties, little prick. You'll learn it after taking the protection away. You can't keep it protected all the time. We'll never give in until the page looks like WE want. I warn you, Clayworth, that I an ruin your health from any distance. I can also easily kill you with an energy stroke. Don't play with fire, stupid ass. ->"," threat"
"The above posted by a typical American retard. ->"," toxic"
"FUCK YOU 

YOU ARE THE BIGGEST PIG ON THE PLANET.

DIE IN HELL ASSHOLE! ->"," severe"
"is iridescant is a faggot ->"," identity"
"you bitch change that image on the 4 train line article right back if you can't tell the difference between an r142 and an r142a that's your fucking problem you might as well revert the images on the b and l train line articles while you're at it ->"," severe"
